missing_flag,network,variable,note,source
NaN,catch_all,all,,
NULL,MADIS,all,,https://developers.synopticdata.com/about/qc/
 ,MADIS,all,space character,
-99,ISD,all,,
-999,ISD,all,,
-9999,ISD,all,,
-99999,ISD,all,,
-999999,ISD,all,,
99,ISD,tas;pr;rsds;tdps;ps,,
999,ISD,tas;pr;hurs;sfcWind;sfcWind_dir;tdps;ps,,
9999,ISD,tas;pr;sfcWind;sfcWind_dir;tdps;rsds;ps,,
99999,ISD,tas;pr;sfcWind;sfcWind_dir;tdps;rsds,,
999999,ISD,all,,
…,CWOP,all,may get replaced by space character by MADIS qa,
….,CWOP,all,may get replaced by space character by MADIS qa,
6////,ASOSAWOS,all,,https://www.weather.gov/media/asos/aum-toc.pdf
7////,ASOSAWOS,all,,https://www.weather.gov/media/asos/aum-toc.pdf
M,ASOSAWOS,all,,https://www.weather.gov/media/asos/aum-toc.pdf
999999,MADIS,all,,https://madis-data.ncep.noaa.gov/raobdump.f
MM,MARITIME,all,realtime data (less than 45 days old),https://www.ndbc.noaa.gov/measdes.shtml
9999,MARITIME,tas;pr;hurs;sfcWind;sfcWind_dir;tdps;ps;rsds,historical data,https://www.ndbc.noaa.gov/measdes.shtml
999,MARITIME,tas;pr;hurs;sfcWind;sfcWind_dir;tdps;ps,historical data,https://www.ndbc.noaa.gov/measdes.shtml
99,MARITIME,tas;pr;rsds;tdps;ps,historical data,https://www.ndbc.noaa.gov/measdes.shtml
MM,NDBC,all,realtime data (less than 45 days old),https://www.ndbc.noaa.gov/measdes.shtml
9999,NDBC,tas;pr;hurs;sfcWind;sfcWind_dir;tdps;rsds,historical data,https://www.ndbc.noaa.gov/measdes.shtml
999,NDBC,tas;pr;hurs;sfcWind;sfcWind_dir;tdps;ps,historical data,https://www.ndbc.noaa.gov/measdes.shtml
99,NDBC,tas;pr;rsds;tdps;ps,historical data,https://www.ndbc.noaa.gov/measdes.shtml
-9999,NOS-NWLON,all,,https://tidesandcurrents.noaa.gov/publications/tech_rpt_026.pdf
-9999,NOS-PORTS,all,,https://tidesandcurrents.noaa.gov/publications/tech_rpt_026.pdf
-30479.6952,ASOSAWOS,elevation,elevation bad value,in cleaned data
-99900,VCAPCD,ps,,in cleaned data
-725.86,VCAPCD,tas;tdps;tdps_derived,,in cleaned data
-725.85,VCAPCD,tas;tdps;tdps_derived,,in cleaned data
61.25,VCAPCD,tdps;tdps_derived,,in cleaned data
73.33,VCAPCD,tas,,in cleaned data
-998.36,VCAPCD,sfcWind,,in cleaned data
V010,ASOSAWOS,qaqc_process,,in cleaned data
V020,ASOSAWOS,qaqc_process, ,in cleaned data
9,ASOSAWOS,tas_qc;tdps_qc;sfcWind_qc;sfcWind_dir_qc;psl_qc,flag is a string not a float,
