,era-id,longitude,latitude,elevation,start-date,end-date,cleaned,time_cleaned,network,pr_15min_nobs,tas_nobs,tdps_nobs,tdps_derived_nobs,ps_nobs,psl_nobs,ps_altimeter_nobs,pr_nobs,pr_5min_nobs,pr_1h_nobs,pr_24h_nobs,pr_localmid_nobs,hurs_nobs,sfcwind_nobs,sfcwind_dir_nobs,rsds_nobs,total_nobs
0,ASOSAWOS_69007093217,-121.767,36.683,-30479.6952,1960-04-04 00:00:00+00:00,1993-08-31 00:00:00+00:00,Y,2023-02-07 04:04:27+00:00,ASOSAWOS,,11652.0,11652.0,0.0,0.0,11651.0,14261.0,2695.0,0.0,0.0,0.0,0.0,0.0,14267.0,12124.0,0.0,14269.0
1,ASOSAWOS_69023024255,-122.667,48.35,14.3256,1989-12-01 00:00:00+00:00,1997-12-31 00:00:00+00:00,Y,2023-02-07 07:46:18+00:00,ASOSAWOS,,179439.0,178117.0,0.0,62209.0,167564.0,184744.0,43976.0,0.0,0.0,0.0,0.0,0.0,187878.0,162013.0,0.0,198355.0
2,ASOSAWOS_69960403145,-114.617,32.65,64.92240000000001,1987-07-01 00:00:00+00:00,1997-12-31 00:00:00+00:00,Y,2023-02-07 07:40:55+00:00,ASOSAWOS,,148343.0,147618.0,0.0,39819.0,146974.0,147520.0,28206.0,0.0,0.0,0.0,0.0,0.0,149695.0,128239.0,0.0,157070.0
3,ASOSAWOS_72012200114,-113.117,48.6,1419.1488000000002,2014-07-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,Y,2023-02-07 13:14:14+00:00,ASOSAWOS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18663.0,17496.0,0.0,18666.0
4,ASOSAWOS_72019300117,-122.922,40.747,716.2800000000001,2010-10-30 00:00:00+00:00,2020-08-12 00:00:00+00:00,Y,2023-02-07 12:39:56+00:00,ASOSAWOS,,210257.0,210405.0,0.0,111764.0,0.0,200276.0,11505.0,0.0,0.0,0.0,0.0,0.0,210460.0,90525.0,0.0,210563.0
5,ASOSAWOS_72020200118,-123.817,45.417,11.2776,2005-01-03 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 08:46:35+00:00,ASOSAWOS,,388180.0,387927.0,0.0,201641.0,1.0,394599.0,53279.0,0.0,0.0,0.0,0.0,0.0,397127.0,220449.0,0.0,401832.0
6,ASOSAWOS_72025400119,-122.983,46.683,54.2544,2007-02-16 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:58:18+00:00,ASOSAWOS,,389690.0,389448.0,0.0,198817.0,0.0,390458.0,18344.0,0.0,0.0,0.0,0.0,0.0,390268.0,211549.0,0.0,399268.0
7,ASOSAWOS_72026294076,-106.369,40.054,2258.8728,2006-01-01 00:00:00+00:00,2013-04-30 00:00:00+00:00,Y,2023-02-07 09:49:45+00:00,ASOSAWOS,,179400.0,179415.0,0.0,22733.0,0.0,179614.0,3983.0,0.0,0.0,0.0,0.0,0.0,179636.0,87360.0,0.0,181714.0
8,ASOSAWOS_72026723224,-121.082,38.955,466.6488000000001,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 10:49:14+00:00,ASOSAWOS,,427011.0,425432.0,0.0,247496.0,0.0,429415.0,11159.0,0.0,0.0,0.0,0.0,0.0,427989.0,299475.0,0.0,430436.0
9,ASOSAWOS_72027294282,-122.417,48.467,42.672,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:50:01+00:00,ASOSAWOS,,428753.0,411691.0,0.0,386848.0,0.0,431519.0,4701.0,0.0,0.0,0.0,0.0,0.0,430672.0,297582.0,0.0,434412.0
10,ASOSAWOS_72032204129,-116.56,48.299,648.3096,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:08:39+00:00,ASOSAWOS,,426647.0,426631.0,0.0,386016.0,0.0,427220.0,0.0,0.0,0.0,0.0,0.0,0.0,427155.0,258290.0,0.0,430581.0
11,ASOSAWOS_72033353175,-117.602,33.898,162.4584,2006-09-07 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:56:18+00:00,ASOSAWOS,,163423.0,158855.0,0.0,90613.0,128076.0,158878.0,15741.0,0.0,0.0,0.0,0.0,0.0,156952.0,82307.0,0.0,170633.0
12,ASOSAWOS_72033900121,-111.167,32.15,737.0064,2007-11-15 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:04:22+00:00,ASOSAWOS,,67471.0,67340.0,0.0,38545.0,0.0,68291.0,0.0,0.0,0.0,0.0,0.0,0.0,67752.0,54403.0,0.0,68672.0
13,ASOSAWOS_72034594086,-109.807,42.796,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:31:00+00:00,ASOSAWOS,,428051.0,427793.0,0.0,378392.0,10.0,428421.0,877.0,0.0,0.0,0.0,0.0,0.0,422832.0,340488.0,0.0,435003.0
14,ASOSAWOS_72036524267,-124.29,42.074,139.9032,2005-08-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 08:57:50+00:00,ASOSAWOS,,251564.0,239757.0,0.0,0.0,144113.0,250975.0,83513.0,0.0,0.0,0.0,0.0,0.0,251491.0,124799.0,0.0,256389.0
15,ASOSAWOS_72036904135,-111.098,43.743,43.742,2006-10-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:57:12+00:00,ASOSAWOS,,175824.0,175658.0,0.0,169733.0,125551.0,175473.0,65997.0,0.0,0.0,0.0,0.0,0.0,175341.0,141888.0,0.0,179597.0
16,ASOSAWOS_72038500419,-105.766,39.8,4113.276,2007-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:01:06+00:00,ASOSAWOS,,296036.0,295259.0,0.0,193285.0,0.0,310856.0,9196.0,0.0,0.0,0.0,0.0,0.0,270165.0,265970.0,0.0,313223.0
