,icao,wmo,faa,name,country,state,latitude,longitude,elevation,begin,end,station id,hadisd duplicate
0,KABQ,723650,23050,ALBUQUERQUE INTL SUNPORT AIRPORT,US,NM,35.042,-106.615,1618.4,19410701,20220228,723650-23050,False
1,KACV,725945,24283,ARCATA AIRPORT,US,CA,40.978,-124.105,64.5,19730101,20220228,725945-24283,False
2,KAKO,724698,24015,COLORADO PLAINS RGNL ARPT,US,CO,40.174,-103.215,1428.0,19730101,20220228,724698-24015,False
3,KBCE,724756,23159,BRYCE CANYON AIRPORT,US,UT,37.701,-112.149,2309.9,19730101,20220228,724756-23159,False
4,KBFL,723840,23155,MEADOWS FIELD AIRPORT,US,CA,35.434,-119.055,149.3,19411001,20220228,723840-23155,False
5,KBKF,724695,23036,BUCKLEY AIR FORCE BASE,US,CO,39.717,-104.75,1726.1,19440301,20220228,724695-23036,False
6,KBLH,747188,23158,BLYTHE AIRPORT,US,CA,33.619,-114.715,120.4,19420613,20220227,747188-23158,False
7,KBOI,726810,24131,BOISE AIR TERMINAL/GOWEN FD AIRPORT,US,ID,43.567,-116.241,860.5,19310101,20220228,726810-24131,False
8,KBUR,722880,23152,BURBANK-GLENDALE-PASA ARPT,US,CA,34.2,-118.365,222.7,19430601,20220228,722880-23152,False
9,KBZN,726797,24132,GALLATIN FIELD AIRPORT,US,MT,45.788,-111.162,1350.7,19730101,20220228,726797-24132,False
10,KCAG,725700,99999,CRAIG-MOFFAT,US,CO,40.5,-107.533,1915.0,19770827,20051231,725700-99999,False
11,KCQT,722874,93134,DOWNTOWN L.A./USC CAMPUS,US,CA,34.024,-118.291,54.6,20000101,20220228,722874-93134,False
12,KCYS,725640,24018,CHEYENNE AIRPORT,US,WY,41.158,-104.808,1864.9,19480101,20220228,725640-24018,False
13,KDNR,724690,23062,DENVER WSFO,US,CO,39.75,-104.867,1612.0,19400515,19950301,724690-23062,False
14,KEED,723805,23179,NEEDLES AIRPORT,US,CA,34.768,-114.618,270.6,19770217,20220228,723805-23179,False
15,KEKO,725825,24121,ELKO REGIONAL AIRPORT,US,NV,40.824,-115.786,1540.5,19770101,20220228,725825-24121,False
16,KELP,722700,23044,EL PASO INTERNATIONAL AIRPORT,US,TX,31.812,-106.377,1202.1,19410401,20220228,722700-23044,False
17,KFAT,723890,93193,FRESNO YOSEMITE INTERNATIONAL AIRPORT,US,CA,36.78,-119.72,101.9,19411204,20220228,723890-93193,False
18,KFLG,723755,03103,FLAGSTAFF PULLIAM ARPT,US,AZ,35.144,-111.666,2139.1,19480101,20041231,723755-03103,False
19,KFSD,726510,14944,JOE FOSS FIELD AIRPORT,US,SD,43.578,-96.754,432.4,19421001,20220228,726510-14944,False
20,KGEG,727850,24157,SPOKANE INTERNATIONAL AIRPORT,US,WA,47.622,-117.528,717.7,19410811,20220301,727850-24157,False
